No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
GAS/03088/01;Zegar ścienny LUCIA;Tworzywo;Zegar ścienny LUCIA urzeka swoją prostotą i modnym designem. W ofercie w dwóch kolorach: białym i szarym. Wskazówki w kolorze czarnym. Tarcza wykonana z tworzywa. Świetnie wpasuje się w nowoczesne wnętrza.;Wall clock LUCIA;Plastic;The LUCIA wall clock captivates with its simplicity and fashionable design. It comes in two colours, grey and white. The hands are black. Its face is made of plastic. It looks great in modern interiors.;;0;0;AB;
GPF/21231/L335;Arkusz Pallet Block-Mate w formacie 2A;Papier, drzewo;Arkusz Pallet Block-Mate® w formacie 2A. Paleta arkuszy Block-Mate® w formacie 2A. Zawiera 750 arkuszy (80 g/m2) czystych kartek na miniaturowej palecie. Wymiar arkusza: 120x80mm. Papier, drzewo.;Pallet Block-Mate 2A memo block;Paper, wood;Pallet Block-Mate 2A memo block. Pallet Block-Mate 2A memo block. Includes 750 sheets (80g/m2) blank paper on a miniature pallet. Sheet dimension: 120x80mm. Paper, wood.;U;0;0,384;AB;
GMO/MO2917/40;;;;;;;U;0;0,008;AB;
GPF/21229/L335;Arkusz Block-Mate Pallet w formacie 1B 100x100;Papier, drzewo;Arkusz Block-Mate® Pallet w formacie 1B 100x100. Zawiera 750 arkuszy (80 g/m2) czystych kartek na miniaturowej palecie. Wymiar arkusza: 100x100mm. Papier, drzewo.;Block-Mate Pallet 1B memo block 100x100;Paper/80 g/m2/Wood;Includes 750 sheets (80g/m2) blank paper on a miniature pallet. Sheet dimension: 100x100mm.;U;0;0;AB;
GPF/107720/N011;Nero kołozeszyt w formacie A5;Wool;Kołozeszyt w formacie A5 z okładką z certyfikatem FSC, wykonaną z odpadów bawełnianych (15%) i pokonsumenckich pochodzących z recyklingu (40%). Zawiera 80 arkuszy z 100% papieru z recyklingu FSC o gramaturze 80 g/m2 z kropkowaną siatką. Kropkowana siatka łączy w sobie zalety wyściełanych, gładkich stron w kratkę, zapewniając jednocześnie strukturę i stymulując kreatywność, co sprawia, że zeszyt ten będzie odpowiedni dla szerokiego grona użytkowników. Dzięki spirali, notatnik można rozłożyć na płasko dla wygody użytkowania oraz w łatwy sposób złożyć. Wykonany we Włoszech.;Nero A5 size wire-o notebook ;Wool;A5 size wire-o notebook made with a FSC certified cover containing wool waste (15%) and post-consumer recycled waste (40%). Includes 80 sheets, 80 g/m2 100% FSC recycled paper with a dotted layout. The dotted grid combines the advantages of lined, plain and squared pages, providing structure and stimulating creativity at the same time, making this notebook suitable for a wide range of users. Thanks to the spiral, the notebook can lie flat for convenience and can be folded easily. Made in Italy.;U;0;0;AB;
GMO/MO6200/40;Karta RFID wykonana z bambusa;Bambus;Karta RFID anti-skimming w bambusowym etui. Wykorzystując pole elektromagnetyczne, zabezpiecza wszystkie karty 13,56 MHz (karty bankowe lub kredytowe) przed elektroniczną kradzieżą w odległości 2-3 cm wokół karty. (1,3 mm). Bambus jest produktem naturalnym, dlatego mogą wystąpić nieznaczne różnice w kolorze, wzorze i rozmiarze.;RFID card in bamboo material;Bamboo;RFID Anti-skimming card in bamboo case. By using an electromagnetic field it makes all 13.56 MHz cards (trains, buses, bank or credit cards) secure from electronic pick pocketing 2-3 cm around the card. (1,3 mm). Bamboo is a natural product, there may be slight variations in colour and size per item, which can affect the final decoration outcome.;;0;0,006;AB;
GRD/R73129/01;Zakładka do książki Libro;stal nierdzewna;Metalowa zakładka do książki z zawieszką idealną do znakowania grawerem. Pakowana w czarne pudełko upominkowe.;Libro bookmark;stainless steel;Metal bookmark with a pendant ideal for engraving. Packaged in a black gift box.;U;0;0,03;AB;
GPF/107050/L021;Clast podkładka A4 z zamknięciem magnetycznym i długopisem z certyfikatem RCS z recyklingu (czarny t;Papier certyfikowany FSC, Poliuretan (PU);Clast podkładka do pisania z klipsem łączy w sobie elegancki design ze skóry PU z praktycznymi funkcjami przydatnymi zarówno podczas spotkań, jak i w codziennym użytkowaniu. Pasuje do standardowych stron A4 i zawiera magnetyczny klips, zszyte krawędzie oraz wbudowaną pętelkę na długopis. W środku znajduje się 26 kartek papieru w linie o gramaturze 65 g/m2 oraz długopis z górną częścią korpusu wykonaną z tworzyw sztucznych pochodzących z recyklingu i dolną częścią korpusu wykonaną z aluminium pochodzącego z recyklingu z certyfikatem RCS. Długopis Juana jest również dostępny osobno. Wymiary podkładki do pisania 25,5 × 33 cm. Kolor tuszu długopisu: czarny.;Clast A4 clipboard with magnetic closure and RCS recycled ballpoint pen (black ink);FSC certified paper, Polyurethane;The Clast clipboard combines a sleek PU leather design with practical features for both meetings and everyday use. It fits standard A4 pages and includes a magnetic clip, stitched edges, and a built-in pen loop. Inside are 26 lined sheets of 65 g/m2 paper along with a ballpoint pen made with a recycled plastic upper barrel and an RCS certified recycled aluminium lower barrel. The Juana ballpoint pen is also available separately. Clipboard size: 25.5 × 33 cm. Pen ink colour: black.;U;0;0,259;AB;
GMO/MO2787/66;;;;;;;U;0;0,03;AB;
GMO/MO2783/02;;;;;;;U;0;0,01;AB;
